Date,Portfolio,Benchmark
2020-01-02,1.0,
2020-01-03,1.0,0.9953329085483993
2020-01-06,1.0,0.9967515734532602
2020-01-07,1.0,0.9959650495523346
2020-01-08,1.0,0.9993347749251166
2020-01-09,1.0,1.0045408092987553
2020-01-10,1.0,1.0024226883622176
2020-01-13,1.0,1.010351562516249
2020-01-14,1.0,1.0108429000918087
2020-01-15,1.0,1.0131556471533063
2020-01-16,1.0,1.0226533273818579
2020-01-17,1.0,1.024822116203838
2020-01-21,1.0,1.0211054901337204
2020-01-22,1.0,1.0211357824892244
2020-01-23,1.0,1.023707734093878
2020-01-24,1.0,1.0141282049287432
2020-01-27,1.0,0.9991444929861277
2020-01-28,1.0,1.0085534549519763
2020-01-29,1.0,1.00590086119556
2020-01-30,1.0,1.0084170659249792
2020-01-31,1.0,0.9901243917833531
2020-02-03,1.0,0.9975991020165337
2020-02-04,1.0,1.0127194857890343
2020-02-05,1.0,1.0240705993775585
2020-02-06,1.0,1.0241622474919356
2020-02-07,1.0,1.017426874834602
2020-02-10,1.0,1.0236243589157943
2020-02-11,1.0,1.0301741661059463
2020-02-12,1.0,1.036717399294969
2020-02-13,1.0,1.0366413232989462
2020-02-14,1.0,1.0382573331681686
2020-02-18,1.0,1.0360077429827017
2020-02-19,1.0,1.0403897427644426
2020-02-20,1.0,1.0399106952314279
2020-02-21,1.0,1.0305467707977403
2020-02-24,1.0,1.0000059127662912
2020-02-25,1.0,0.9675856673780002
2020-02-26,1.0,0.9588112264967785
2020-02-27,1.0,0.9216887855633957
2020-02-28,1.0,0.9104628898241193
2020-03-02,1.0,0.9460641870050431
2020-03-03,1.0,0.9239405319156352
2020-03-04,1.0,0.9595737027649655
2020-03-05,1.0,0.9267677246536262
2020-03-06,1.0,0.9075930443362249
2020-03-09,1.0,0.8283205454259748
2020-03-10,1.0,0.8673114512709504
2020-03-11,1.0,0.8191668515752382
2020-03-12,1.0,0.7347923524361146
2020-03-13,1.0,0.7952078615101931
2020-03-16,1.0,0.693875984169817
2020-03-17,1.0,0.7284146183572214
2020-03-18,1.0,0.672281710958332
2020-03-19,1.0,0.6890225208208415
2020-03-20,1.0,0.6641666809821597
2020-03-23,1.0,0.6421518433831852
2020-03-24,1.0,0.7147852037294351
2020-03-25,1.0,0.7373875031201269
2020-03-26,1.0,0.7826241654458489
2020-03-27,1.0,0.7558688018226825
2020-03-30,1.0,0.7752731116519278
2020-03-31,1.0,0.7631573452127701
2020-04-01,1.0,0.7232817331374685
2020-04-02,1.0,0.7334553458886899
2020-04-03,1.0,0.7215400389146129
2020-04-06,1.0,0.7797191699674798
2020-04-07,1.0,0.7863847500723861
2020-04-08,1.0,0.821483987449334
2020-04-09,1.0,0.842244467914453
2020-04-13,1.0,0.8245492310582533
2020-04-14,1.0,0.8458479772984588
2020-04-15,1.0,0.818185811645792
2020-04-16,1.0,0.816090873028107
2020-04-17,1.0,0.8496116590003181
2020-04-20,1.0,0.8318970245130839
2020-04-21,1.0,0.8067840328097245
2020-04-22,1.0,0.8233262052705945
2020-04-23,1.0,0.8256029541443686
2020-04-24,1.0,0.8372535866021096
2020-04-27,1.0,0.8600207809293283
2020-04-28,1.0,0.8678782625557221
2020-04-29,1.0,0.8953390736059945
2020-04-30,1.0,0.8750236793568862
2020-05-01,1.0,0.8464393039217954
2020-05-04,1.0,0.8484726166932974
2020-05-05,1.0,0.8549683834172961
2020-05-06,1.0,0.8447729075111483
2020-05-07,1.0,0.8605690751817002
2020-05-08,1.0,0.8829237673850145
2020-05-11,1.0,0.8758036564872785
2020-05-12,1.0,0.8540361443440648
2020-05-13,1.0,0.8315462163478655
2020-05-14,1.0,0.8431747642336019
2020-05-15,1.0,0.845649092442847
2020-05-18,1.0,0.8891607436908848
2020-05-19,1.0,0.8787270635944221
2020-05-20,1.0,0.8951506724351872
2020-05-21,1.0,0.8906990049880693
2020-05-22,1.0,0.8926121865552027
2020-05-26,1.0,0.9170576656404339
2020-05-27,1.0,0.9367921279700583
2020-05-28,1.0,0.9317232722180138
